[12/Aug/2018 13:04:54] DEBUG [CALL:32] Exiting change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:04:54] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:04:54] DEBUG [CALL:29] Call change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:04:54] DEBUG [CALL:32] Exiting change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:04:54] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:04:54] DEBUG [CALL:29] Call change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:04:54] DEBUG [CALL:32] Exiting change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:04:54] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:04:54] DEBUG [CALL:32] Exiting get_shift in e_logs.common.all_journals_app.views, line 35
[12/Aug/2018 13:04:55] DEBUG [CALL:29] Call get_fields_descriptions in e_logs.common.all_journals_app.views, line 213
[12/Aug/2018 13:04:55] DEBUG [CALL:32] Exiting get_fields_descriptions in e_logs.common.all_journals_app.views, line 213
[12/Aug/2018 13:04:55] DEBUG [CALL:32] Exiting get_context in e_logs.common.all_journals_app.views, line 58
[12/Aug/2018 13:04:56] DEBUG [CALL:32] Exiting get in e_logs.common.all_journals_app.views, line 27
[12/Aug/2018 13:04:56] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:04:56] DEBUG [CALL:29] Call get in e_logs.common.messages_app.views, line 20
[12/Aug/2018 13:04:56] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:04:56] DEBUG [CALL:32] Exiting get in e_logs.common.messages_app.views, line 20
[12/Aug/2018 13:04:56] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:04:56] DEBUG [CALL:29] Call get_shifts in e_logs.common.all_journals_app.views, line 260
[12/Aug/2018 13:04:57] DEBUG [CALL:32] Exiting get_shifts in e_logs.common.all_journals_app.views, line 260
[12/Aug/2018 13:04:57] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:05] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:05] DEBUG [CALL:29] Call get in e_logs.common.messages_app.views, line 20
[12/Aug/2018 13:05:05] DEBUG [CALL:32] Exiting get in e_logs.common.messages_app.views, line 20
[12/Aug/2018 13:05:05] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:12] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:12] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:12] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:12] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:12] DEBUG [CALL:29] Call get in e_logs.common.all_journals_app.views, line 27
[12/Aug/2018 13:05:12] DEBUG [CALL:29] Call change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:12] DEBUG [CALL:32] Exiting change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:12] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:12] DEBUG [CALL:29] Call change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:12] DEBUG [CALL:32] Exiting change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:12] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:12] DEBUG [CALL:29] Call change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:12] DEBUG [CALL:32] Exiting change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:12] DEBUG [CALL:29] Call get_context in e_logs.common.all_journals_app.views, line 108
[12/Aug/2018 13:05:12] DEBUG [CALL:29] Call get_context in e_logs.common.all_journals_app.views, line 58
[12/Aug/2018 13:05:12] DEBUG [CALL:29] Call get_shift in e_logs.common.all_journals_app.views, line 35
[12/Aug/2018 13:05:12] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:12] DEBUG [CALL:29] Call change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:12] DEBUG [CALL:32] Exiting change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:12] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:12] DEBUG [CALL:32] Exiting get_shift in e_logs.common.all_journals_app.views, line 35
